type,dato
Nyttårsdag,2025-01-01
Skjærtorsdag,2025-04-17
Langfredag,2025-04-18
Første påskedag,2025-04-20
Andre påskedag,2025-04-21
Arbeidernes dag,2025-05-01
Grunnlovsdag,2025-05-17
Kristi himmelfartsdag,2025-05-29
Første pinsedag,2025-06-08
Andre pinsedag,2025-06-09
Første juledag,2025-12-25
Andre juledag,2025-12-26
Nyttårsdag,2026-01-01
Skjærtorsdag,2026-04-02
Langfredag,2026-04-03
Første påskedag,2026-04-05
Andre påskedag,2026-04-06
Arbeidernes dag,2026-05-01
Kristi himmelfartsdag,2026-05-14
Grunnlovsdag,2026-05-17
Første pinsedag,2026-05-24
Andre pinsedag,2026-05-25
Første juledag,2026-12-25
Andre juledag,2026-12-26
